student_id,name,gender,grade,subject,marks,attendance_%,study_hours_per_week,test_preparation,parental_education
STU1038,Aarohi Rao,Female,9,Computer Science,86.2,85.4,3.8,Occasional,High School
STU1074,Ananya Chopra,Female,9,Computer Science,82.6,86.8,3.2,None,High School
STU1173,Diya Desai,Male,10,Social Studies,52.3,82.3,1.7,None,High School
STU1013,Kabir Iyer,Female,12,Social Studies,84.8,90.0,4.9,Occasional,Master's
STU1026,Aadhya Chopra,Female,10,Mathematics,67.7,85.9,0.7,Occasional,Bachelor's
STU1065,Ira Singh,Female,11,Social Studies,82.4,85.3,2.4,Occasional,PhD
STU1299,Kiara Desai,Female,11,Social Studies,69.7,74.0,3.1,Occasional,Bachelor's
STU1060,Arjun Kumar,Female,10,Mathematics,84.0,74.1,1.9,Occasional,Master's
STU1270,Vivaan Joshi,Male,12,Science,100.0,98.1,6.5,None,Bachelor's
STU1250,Zara Rao,Female,10,English,92.7,100.0,2.6,Occasional,High School
STU1161,Neha Gupta,Female,9,Computer Science,87.6,99.3,1.4,Regular,Master's
STU1070,Sai Nair,Male,10,Computer Science,79.9,78.2,6.1,Occasional,PhD
STU1288,Dev Nair,Male,9,Science,100.0,100.0,5.0,Occasional,High School
STU1048,Kiara Desai,Male,9,Mathematics,76.9,88.0,3.8,None,Bachelor's
STU1130,Aadhya Kumar,Male,10,Science,70.5,76.6,4.3,None,PhD
STU1216,Priya Iyer,Female,9,Computer Science,88.2,97.7,2.1,Occasional,Bachelor's
STU1037,Arjun Kumar,Female,10,English,72.7,70.4,2.6,None,Master's
STU1142,Yash Kapoor,Female,10,Social Studies,96.9,94.0,2.7,Regular,High School
STU1236,Kabir Patel,Female,12,Mathematics,93.8,93.3,2.1,None,High School
STU1209,Dev Desai,Female,11,Science,81.7,86.4,4.6,None,High School
STU1119,Aryan Reddy,Male,9,Social Studies,89.1,83.9,4.4,None,PhD
STU1194,Riya Singh,Female,9,English,62.9,71.8,1.7,None,Bachelor's
STU1202,Ananya Verma,Female,12,Science,75.4,95.7,3.0,Occasional,High School
STU1056,Dev Gupta,Female,11,Social Studies,78.7,90.9,2.6,Occasional,Bachelor's
STU1101,Zara Kumar,Female,12,Science,58.7,67.8,0.5,Occasional,High School
STU1122,Aryan Rao,Female,10,Mathematics,60.9,92.8,2.1,Regular,High School
STU1221,Dev Desai,Female,11,Science,66.4,64.0,5.5,Regular,High School
STU1103,Anika Gupta,Female,12,English,95.7,93.3,3.7,None,High School
STU1113,Ishaan Sharma,Female,9,Mathematics,78.0,82.6,3.9,Regular,PhD
STU1021,Zara Nair,Male,10,Computer Science,76.7,83.5,3.3,Occasional,Bachelor's
STU1261,Aarohi Reddy,Female,9,English,62.6,65.1,1.4,Occasional,Bachelor's
STU1024,Anika Sharma,Male,12,English,96.9,79.7,6.3,Regular,High School
STU1086,Meera Singh,Female,9,Mathematics,,100.0,0.7,Occasional,High School
STU1056,Dev Gupta,Female,11,Mathematics,81.5,90.9,2.6,Occasional,Bachelor's
STU1195,Vivaan Kapoor,Male,11,Social Studies,96.4,98.4,5.7,Occasional,PhD
STU1180,Dev Reddy,Female,10,Science,86.0,78.0,4.5,Regular,PhD
STU1240,Rohan Kumar,Female,12,Social Studies,82.7,87.0,5.1,Regular,Master's
STU1097,Aadhya Joshi,Male,11,Social Studies,86.9,88.1,7.7,Occasional,Bachelor's
STU1159,Arjun Iyer,Female,11,Social Studies,78.1,64.7,3.3,Occasional,High School
STU1258,Zara Reddy,Male,12,Social Studies,70.8,92.3,2.9,None,Master's
STU1175,Riya Kumar,Female,12,Mathematics,90.7,87.0,6.3,None,High School
STU1216,Priya Iyer,Female,9,English,91.4,97.7,2.1,Occasional,Bachelor's
STU1149,Saanvi Sharma,Female,12,Science,77.1,70.8,3.3,Regular,Master's
STU1148,Rohan Joshi,Female,10,English,90.7,95.2,2.5,Regular,High School
STU1226,Riya Patel,Female,10,Mathematics,85.6,80.9,4.3,REGULAR  ,Bachelor's
STU1013,Kabir Iyer,Female,12,English,77.3,90.0,4.9,Occasional,Master's
STU1126,Sai Desai,Female,12,Mathematics,74.2,100.0,6.9,None,Bachelor's
STU1134,Aditya Reddy,Male,12,Social Studies,73.9,82.5,2.0,Occasional,Bachelor's
STU1164,Aarav Iyer,Male,10,Mathematics,81.5,76.6,6.3,None,High School
STU1295,Simran Rao,Female,12,Mathematics,72.5,86.8,2.7,Occasional,High School
STU1180,Dev Reddy,Female,10,English,92.6,78.0,4.5,Regular,PhD
STU1117,Myra Mehta,Female,11,Science,77.7,75.1,3.5,None,High School
STU1082,Rohan Singh,Female,10,Computer Science,74.9,85.5,1.9,None,High School
STU1074,Ananya Chopra,Female,9,English,77.4,86.8,3.2,None,High School
STU1214,Simran Patel,Female,12,Social Studies,100.0,100.0,5.1,Occasional,Bachelor's
STU1083,Sai Kumar,Female,9,Science,100.0,93.4,5.2,Occasional,High School
STU1063,Neha Patel,Male,11,Social Studies,90.8,81.3,6.4,None,High School
STU1289,Myra Reddy,Male,9,Mathematics,66.4,75.0,5.9,None,Bachelor's
STU1280,Ira Nair,Male,9,Social Studies,67.2,85.1,3.9,None,Bachelor's
STU1114,Aryan Singh,Male,11,Science,91.7,83.4,5.3,None,Master's
STU1218,Meera Sharma,Female,9,Social Studies,83.9,81.5,0.3,Occasional,Master's
STU1026,Aadhya Chopra,Female,10,English,75.6,85.9,0.7,Occasional,Bachelor's
STU1140,Tanvi Sharma,Female,11,Mathematics,82.4,97.2,6.0,Occasional,High School
STU1264,Yash Reddy,Female,9,English,96.8,87.9,6.9,Regular,High School
STU1083,Sai Kumar,Female,9,Mathematics,100.0,93.4,5.2,Occasional,High School
STU1094,Aarav Singh,Female,10,Science,73.3,67.5,5.5,Occasional,Bachelor's
STU1257,Simran Patel,Female,9,Science,59.2,71.1,4.1,None,High School
STU1246,Aryan Chopra,Male,9,Mathematics,83.2,82.8,4.2,None,Bachelor's
STU1089,Rohan Mehta,Female,9,Mathematics,85.6,100.0,1.2,None,Bachelor's
STU1025,Kiara Nair,Male,11,Mathematics,93.8,80.9,4.6,Occasional,Bachelor's
STU1093,Aarav Kumar,Male,12,Mathematics,89.6,77.7,5.2,None,Master's
STU1218,Meera Sharma,Female,9,Computer Science,77.2,81.5,0.3,Occasional,Master's
STU1277,Riya Patel,Male,12,English,86.2,82.2,1.6,Occasional,High School
STU1111,Arjun Chopra,Female,9,Social Studies,77.6,80.3,2.9,Occasional,High School
STU1278,Aryan Verma,Female,11,English,98.8,100.0,4.3,Occasional,Bachelor's
STU1077,Reyansh Chopra,Male,9,Science,75.2,93.8,2.6,Occasional,High School
STU1057,Kabir Kapoor,Male,11,Computer Science,67.6,65.0,1.7,None,Master's
STU1176,Aditya Chopra,Male,9,Social Studies,86.9,83.7,6.5,Occasional,High School
STU1224,Kiara Singh,Female,10,English,100.0,90.7,5.2,None,Bachelor's
STU1180,Dev Reddy,Female,10,Social Studies,82.6,78.0,4.5,Regular,PhD
STU1010,Sai Reddy,Male,11,Social Studies,84.1,96.1,2.6,None,High School
STU1288,Dev Nair,Male,9,Social Studies,100.0,100.0,5.0,Occasional,High School
STU1151,Saanvi Rao,Female,10,Mathematics,89.7,81.4,4.0,None,High School
STU1237,Aarohi Sharma,Female,10,Computer Science,83.0,82.9,2.3,Occasional,Bachelor's
STU1146,Vihaan Reddy,Female,9,English,,73.8,1.9,Occasional,PhD
STU1008,Ishaan Kapoor,Male,9,Mathematics,99.2,83.0,4.3,None,High School
STU1067,Aditya Joshi,Male,10,Computer Science,72.0,78.9,5.4,Regular,Bachelor's
STU1232,Sai Singh,Female,9,English,75.8,78.5,2.4,Regular,High School
STU1175,Riya Kumar,Female,12,Computer Science,85.3,87.0,6.3,None,High School
STU1224,Kiara Singh,Female,10,Computer Science,92.2,90.7,5.2,None,Bachelor's
STU1131,Meera Verma,Female,10,Social Studies,93.1,100.0,3.6,Regular,Bachelor's
STU1016,Simran Rao,Female,10,Social Studies,98.8,97.6,5.4,None,Master's
STU1023,Vihaan Rao,Male,10,Mathematics,85.9,94.8,5.0,Regular,Bachelor's
STU1293,Sai Gupta,Female,11,Science,77.6,75.0,4.1,Occasional,Bachelor's
STU1231,Myra Patel,Male,12,Science,90.1,85.5,3.0,Occasional,Bachelor's
STU1260,Tanvi Singh,Male,12,Science,80.1,91.5,5.2,Occasional,Master's
STU1272,Ananya Desai,Male,10,Social Studies,84.1,84.2,2.0,None,Master's
STU1134,Aditya Reddy,Male,12,English,65.2,82.5,2.0,Occasional,Bachelor's
STU1054,Dev Gupta,Male,12,Mathematics,96.7,78.4,2.5,None,Master's
STU1186,Vivaan Kumar,Male,11,Mathematics,100.0,82.8,4.2,None,High School
STU1261,Aarohi Reddy,Female,9,Mathematics,62.4,65.1,1.4,Occasional,Bachelor's
STU1167,Aadhya Iyer,Male,12,Social Studies,100.0,76.7,6.7,Occasional,High School
STU1290,Myra Joshi,Male,11,Science,86.1,86.1,0.8,None,High School
STU1075,Aarohi Kumar,Male,12,English,85.3,100.0,0.8,Occasional,High School
STU1108,Aadhya Reddy,Female,9,Science,62.5,89.2,2.1,Occasional,High School
STU1019,Saanvi Verma,Female,10,Science,62.2,79.7,5.0,Regular,High School
STU1263,Tanvi Iyer,Female,10,Social Studies,96.1,87.2,6.9,Occasional,High School
STU1092,Anika Sharma,Female,12,Computer Science,78.8,88.3,2.8,Regular,Master's
STU1274,Vihaan Sharma,Female,11,Science,65.1,81.9,2.1,None,Bachelor's
STU1201,Riya Chopra,Female,11,Social Studies,71.7,75.6,4.7,Regular,High School
STU1009,Aryan Patel,Male,12,Social Studies,95.0,84.6,7.9,None,Master's
STU1155,Sai Sharma,Male,12,Computer Science,75.1,71.6,5.6,Regular,High School
STU1224,Kiara Singh,Female,10,Mathematics,100.0,90.7,5.2,None,Bachelor's
STU1211,Aarohi Gupta,Male,10,Social Studies,87.9,84.5,1.2,Occasional,Bachelor's
STU1030,Tanvi Mehta,Male,9,Social Studies,74.9,84.4,2.6,None,High School
STU1047,Kiara Sharma,Male,9,English,80.8,95.7,2.0,None,Master's
STU1010,Sai Reddy,Male,11,Computer Science,77.1,96.1,2.6,None,High School
STU1078,Riya Verma,Male,10,Computer Science,67.9,87.9,4.3,Regular,High School
STU1024,Anika Sharma,Male,12,Social Studies,94.7,79.7,6.3,Regular,High School
STU1071,Ishaan Singh,Male,11,Mathematics,88.6,91.5,3.8,Regular,High School
STU1086,Meera Singh,Female,9,Science,94.4,100.0,0.7,Occasional,High School
STU1026,Aadhya Chopra,Female,10,Computer Science,83.8,85.9,0.7,Occasional,Bachelor's
STU1053,Sai Nair,Female,9,Social Studies,66.1,72.8,1.1,Occasional,Bachelor's
STU1077,Reyansh Chopra,Male,9,Mathematics,79.3,93.8,2.6,Occasional,High School
STU1019,Saanvi Verma,Female,10,English,62.3,79.7,5.0,Regular,High School
STU1044,Arjun Kapoor,Male,11,Mathematics,83.8,85.6,2.3,None,Bachelor's
STU1008,Ishaan Kapoor,Male,9,Science,97.6,83.0,4.3,None,High School
STU1203,Ananya Kumar,Male,9,Mathematics,94.7,80.0,2.9,Regular,Master's
STU1161,Neha Gupta,Female,9,Science,88.4,99.3,1.4,Regular,Master's
STU1174,Vihaan Rao,Female,10,Mathematics,88.2,76.3,5.4,Regular,Bachelor's
STU1102,Aadhya Iyer,Female,9,Social Studies,70.9,72.8,2.5,None,Master's
STU1222,Neha Iyer,Female,11,Computer Science,76.7,68.2,0.8,Occasional,Master's
STU1158,Vihaan Gupta,Male,12,Science,78.0,91.8,2.6,Regular,Bachelor's
STU1121,Aarav Iyer,Female,11,Science,69.2,88.1,1.8,Regular,Bachelor's
STU1002,Ira Patel,Male,9,English,94.1,96.4,2.4,None,High School
STU1100,Anika Gupta,Female,10,Computer Science,85.2,88.7,1.4,Occasional,Bachelor's
STU1295,Simran Rao,Female,12,Computer Science,79.3,86.8,2.7,Occasional,High School
STU1145,Aryan Mehta,Female,11,Social Studies,72.6,80.8,3.9,None,High School
STU1256,Kabir Singh,Male,10,Science,36.3,77.7,0.0,Regular,High School
STU1130,Aadhya Kumar,Male,10,English,63.6,76.6,4.3,None,PhD
STU1162,Saanvi Desai,Female,9,Mathematics,91.0,80.3,3.5,Occasional,PhD
STU1018,Priya Rao,Female,9,Science,92.0,98.1,2.7,None,High School
STU1287,Priya Singh,Female,9,Computer Science,69.6,78.6,4.1,None,Bachelor's
STU1265,Aadhya Patel,Male,10,Social Studies,99.4,93.0,6.1,None,Master's
STU1275,Vihaan Nair,Male,11,Computer Science,94.9,99.4,3.8,Regular,PhD
STU1190,Ishaan Desai,Female,10,Science,100.0,100.0,2.9,Regular,Bachelor's
STU1123,Aditya Rao,Male,10,English,83.6,99.0,4.1,Occasional,Bachelor's
STU1266,Krishna Joshi,Female,11,English,87.1,87.1,1.4,None,Master's
STU1203,Ananya Kumar,Male,9,English,96.6,80.0,2.9,Regular,Master's
STU1217,Ananya Desai,Female,9,Social Studies,63.3,63.2,4.7,None,Bachelor's
STU1282,Ishaan Singh,Female,12,Science,70.3,,4.5,None,Bachelor's
STU1044,Arjun Kapoor,Male,11,Computer Science,69.5,85.6,2.3,None,Bachelor's
STU1067,Aditya Joshi,Male,10,Science,59.6,78.9,5.4,Regular,Bachelor's
STU1046,Zara Gupta,Male,9,English,88.9,100.0,4.0,None,Master's
STU1113,Ishaan Sharma,Female,9,Social Studies,65.0,82.6,3.9,Regular,PhD
STU1111,Arjun Chopra,Female,9,Science,83.1,80.3,2.9,Occasional,High School
STU1207,Aryan Nair,Female,11,Social Studies,79.8,80.3,3.5,Regular,Master's
STU1093,Aarav Kumar,Male,12,Social Studies,90.1,77.7,5.2,None,Master's
STU1177,Saanvi Gupta,Male,9,English,79.2,100.0,4.5,Occasional,Master's
STU1127,Meera Nair,Female,9,English,95.3,95.9,3.1,Regular,Bachelor's
STU1059,Ishaan Reddy,Female,11,English,100.0,88.6,6.4,None,Bachelor's
STU1212,Neha Reddy,Female,9,Computer Science,81.5,77.5,5.5,Occasional,Bachelor's
STU1214,Simran Patel,Female,12,Science,100.0,100.0,5.1,Occasional,Bachelor's
STU1094,Aarav Singh,Female,10,Social Studies,76.6,67.5,5.5,Occasional,Bachelor's
STU1138,Vivaan Reddy,Male,12,Science,69.9,74.9,4.5,Regular,High School
STU1041,Vivaan Joshi,Female,11,Mathematics,70.1,80.7,3.0,Occasional,PhD
STU1000,Reyansh Iyer,Male,11,Social Studies,93.2,88.8,1.5,None,Master's
STU1189,Simran Verma,Male,10,Mathematics,86.6,65.9,2.6,Regular,Bachelor's
STU1280,Ira Nair,Male,9,Mathematics,62.6,85.1,3.9,None,Bachelor's
STU1276,Reyansh Chopra,Male,11,Mathematics,80.3,54.6,4.3,Occasional,Master's
STU1212,Neha Reddy,Female,9,Social Studies,79.4,77.5,5.5,Occasional,Bachelor's
STU1147,Aditya Singh,Female,11,Mathematics,100.0,96.6,0.0,Occasional,Bachelor's
STU1213,Neha Singh,Female,11,Computer Science,69.2,82.7,5.2,Occasional,High School
STU1252,Myra Patel,Male,9,Science,78.5,81.0,3.6,Occasional,PhD
STU1156,Meera Desai,Male,10,Social Studies,53.0,97.9,2.8,None,High School
STU1201,Riya Chopra,Female,11,Mathematics,64.2,75.6,4.7,Regular,High School
STU1149,Saanvi Sharma,Female,12,English,75.7,70.8,3.3,Regular,Master's
STU1243,Aarohi Singh,Male,11,Mathematics,100.0,71.4,1.8,None,Master's
STU1143,Krishna Sharma,Female,9,English,81.8,94.6,6.8,Occasional,High School
STU1299,Kiara Desai,Female,11,Mathematics,69.1,74.0,3.1,Occasional,Bachelor's
STU1194,Riya Singh,Female,9,Science,73.2,71.8,1.7,None,Bachelor's
STU1114,Aryan Singh,Male,11,English,84.9,83.4,5.3,None,Master's
STU1124,Dev Iyer,Female,12,Mathematics,100.0,92.1,5.3,None,Bachelor's
STU1137,Zara Kapoor,Male,11,English,87.1,87.0,4.1,Regular,High School
STU1160,Ishaan Kapoor,Female,12,Mathematics,93.5,92.8,3.5,None,PhD
STU1133,Kiara Singh,Female,9,Social Studies,100.0,100.0,5.0,NONE  ,Bachelor's
STU1031,Arjun Patel,Female,9,English,92.4,77.6,5.4,Occasional,Master's
STU1245,Aarohi Reddy,Female,11,Science,73.0,78.0,2.7,None,Bachelor's
STU1259,Zara Joshi,Male,10,Mathematics,100.0,95.7,2.9,None,Bachelor's
STU1092,Anika Sharma,Female,12,English,81.9,88.3,2.8,Regular,Master's
STU1028,Neha Desai,Female,9,Mathematics,80.8,98.7,0.0,Regular,High School
STU1032,Aditya Nair,Male,9,Mathematics,70.8,100.0,2.3,None,Master's
STU1061,Vivaan Mehta,Female,11,Mathematics,98.7,82.3,6.1,None,High School
STU1079,Anika Desai,Female,12,Mathematics,71.1,83.1,4.7,None,Bachelor's
STU1079,Anika Desai,Female,12,Computer Science,64.3,83.1,4.7,None,Bachelor's
STU1230,Aryan Chopra,Male,12,Social Studies,74.0,72.5,3.8,Regular,Bachelor's
STU1239,Simran Mehta,Male,10,English,69.0,92.7,3.1,Regular,High School
STU1249,Tanvi Kapoor,Female,9,Mathematics,68.1,78.5,2.9,Occasional,High School
STU1251,Priya Kumar,Male,10,Science,82.3,83.9,2.8,None,Bachelor's
STU1257,Simran Patel,Female,9,Mathematics,60.5,71.1,4.1,None,High School
STU1151,Saanvi Rao,Female,10,Social Studies,87.5,81.4,4.0,None,High School
STU1196,Rohan Kumar,Male,12,English,59.5,85.9,1.1,Regular,High School
STU1109,Ira Nair,Male,10,English,74.3,78.2,5.8,None,Bachelor's
STU1091,Yash Desai,Male,10,English,83.0,76.2,4.1,Occasional,High School
STU1267,Myra Gupta,Female,10,Science,82.7,61.2,3.2,None,Bachelor's
STU1095,Krishna Kapoor,Female,10,Social Studies,89.5,92.5,3.1,Occasional,Master's
STU1222,Neha Iyer,Female,11,Social Studies,82.3,68.2,0.8,Occasional,Master's
STU1277,Riya Patel,Male,12,Computer Science,77.4,82.2,1.6,Occasional,High School
STU1217,Ananya Desai,Female,9,Science,64.8,63.2,4.7,None,Bachelor's
STU1269,Krishna Rao,Female,12,Computer Science,82.2,96.1,2.2,None,High School
STU1069,Neha Patel,Female,12,English,85.2,99.0,2.3,Regular,High School
STU1089,Rohan Mehta,Female,9,Science,85.7,100.0,1.2,None,Bachelor's
STU1268,Arjun Joshi,Female,12,English,99.9,77.5,4.9,Occasional,Bachelor's
STU1075,Aarohi Kumar,Male,12,Computer Science,77.9,100.0,0.8,Occasional,High School
STU1259,Zara Joshi,Male,10,Computer Science,87.2,95.7,2.9,None,Bachelor's
STU1136,Aryan Gupta,Female,9,Computer Science,79.9,85.1,4.4,Occasional,Master's
STU1233,Simran Mehta,Male,11,English,79.4,91.2,5.7,Regular,Master's
STU1046,Zara Gupta,Male,9,Science,98.8,100.0,4.0,None,Master's
STU1076,Zara Nair,Male,10,English,76.0,87.3,2.7,None,PhD
STU1135,Kiara Kapoor,Female,10,English,80.3,77.3,1.0,Occasional,High School
STU1014,Krishna Joshi,Male,10,English,74.4,99.1,6.0,Regular,Bachelor's
STU1014,Krishna Joshi,Male,10,Mathematics,90.7,99.1,6.0,Regular,Bachelor's
STU1153,Diya Verma,Female,11,Mathematics,83.0,80.7,5.4,Occasional,Bachelor's
STU1034,Anika Verma,Female,10,Science,76.5,79.6,4.0,Occasional,Bachelor's
STU1033,Aryan Reddy,Male,11,Social Studies,77.5,90.0,2.7,Regular,High School
STU1098,Yash Sharma,Female,9,Social Studies,81.6,91.6,3.5,Regular,High School
STU1117,Myra Mehta,Female,11,Mathematics,72.6,75.1,3.5,None,High School
STU1203,Ananya Kumar,Male,9,Social Studies,84.5,80.0,2.9,Regular,Master's
STU1054,Dev Gupta,Male,12,English,79.3,78.4,2.5,None,Master's
STU1215,Priya Iyer,Male,11,Mathematics,84.0,76.4,4.6,Occasional,Bachelor's
STU1084,Priya Desai,Male,11,Mathematics,70.8,87.5,2.8,None,Bachelor's
STU1018,Priya Rao,Female,9,Computer Science,100.0,98.1,2.7,None,High School
STU1205,Kabir Chopra,Male,9,Science,73.1,86.6,3.2,Occasional,High School
STU1239,Simran Mehta,Male,10,Mathematics,78.2,92.7,3.1,Regular,High School
STU1008,Ishaan Kapoor,Male,9,English,88.4,83.0,4.3,None,High School
STU1011,Anika Singh,Male,11,Science,75.0,94.8,6.3,None,High School
STU1239,Simran Mehta,Male,10,Computer Science,75.8,92.7,3.1,Regular,High School
STU1148,Rohan Joshi,Female,10,Mathematics,90.0,95.2,2.5,Regular,High School
STU1007,Tanvi Mehta,Female,12,Social Studies,73.5,76.6,4.1,Occasional,Master's
STU1061,Vivaan Mehta,Female,11,Science,99.2,82.3,6.1,None,High School
STU1133,Kiara Singh,Female,9,Mathematics,100.0,100.0,5.0,None,Bachelor's
STU1284,Aryan Patel,Female,10,Mathematics,69.6,94.9,2.4,Occasional,High School
STU1081,Zara Verma,Female,11,Social Studies,85.7,94.4,1.4,None,Bachelor's
STU1033,Aryan Reddy,Male,11,Science,79.5,90.0,2.7,Regular,High School
STU1106,Priya Iyer,Female,11,Computer Science,83.5,100.0,4.2,Occasional,High School
STU1174,Vihaan Rao,Female,10,Science,87.8,76.3,5.4,Regular,Bachelor's
STU1285,Tanvi Gupta,Female,9,English,62.4,78.0,3.7,None,High School
STU1214,Simran Patel,Female,12,Mathematics,100.0,100.0,5.1,Occasional,Bachelor's
STU1283,Diya Desai,Male,10,English,92.1,79.5,2.1,Occasional,Bachelor's
STU1139,Aryan Sharma,Male,12,Social Studies,78.9,74.2,6.2,Regular,Bachelor's
STU1297,Simran Gupta,Female,9,Mathematics,81.3,99.3,5.0,Occasional,High School
STU1063,Neha Patel,Male,11,Science,80.0,81.3,6.4,None,High School
STU1183,Anika Chopra,Female,9,Social Studies,84.8,70.5,5.3,None,Bachelor's
STU1263,Tanvi Iyer,Female,10,Science,88.7,87.2,6.9,Occasional,High School
STU1103,Anika Gupta,Female,12,Science,99.6,93.3,3.7,None,High School
STU1157,Saanvi Verma,Male,10,Computer Science,76.8,97.7,4.2,Regular,High School
STU1106,Priya Iyer,Female,11,Social Studies,80.1,100.0,4.2,Occasional,High School
STU1141,Anika Gupta,Male,10,Social Studies,80.8,83.4,5.5,Occasional,Bachelor's
STU1246,Aryan Chopra,Male,9,English,73.3,82.8,4.2,None,Bachelor's
STU1159,Arjun Iyer,Female,11,Computer Science,75.3,64.7,3.3,Occasional,High School
STU1109,Ira Nair,Male,10,Social Studies,77.6,78.2,5.8,None,Bachelor's
STU1090,Tanvi Desai,Male,10,Social Studies,72.8,78.4,2.9,None,High School
STU1245,Aarohi Reddy,Female,11,Mathematics,61.1,78.0,2.7,None,Bachelor's
STU1134,Aditya Reddy,Male,12,Science,65.6,82.5,2.0,Occasional,Bachelor's
STU1114,Aryan Singh,Male,11,Mathematics,89.5,83.4,5.3,None,Master's
STU1257,Simran Patel,Female,9,English,57.6,71.1,4.1,None,High School
STU1012,Ishaan Kumar,Male,11,Science,90.4,99.6,4.6,None,Master's
STU1207,Aryan Nair,Female,11,English,87.6,80.3,3.5,Regular,Master's
STU1107,Aditya Patel,Female,10,Science,83.4,91.4,4.0,Occasional,High School
STU1297,Simran Gupta,Female,9,English,89.4,99.3,5.0,Occasional,High School
STU1205,Kabir Chopra,Male,9,Mathematics,79.8,86.6,3.2,Occasional,High School
STU1048,Kiara Desai,Male,9,Computer Science,75.8,88.0,3.8,None,Bachelor's
STU1005,Aditya Mehta,Female,10,Mathematics,82.8,89.3,1.3,Occasional,Master's
STU1044,Arjun Kapoor,Male,11,English,74.7,85.6,2.3,None,Bachelor's
STU1223,Ananya Chopra,Female,11,Mathematics,100.0,100.0,4.8,None,Bachelor's
STU1021,Zara Nair,Male,10,Mathematics,88.2,83.5,3.3,Occasional,Bachelor's
STU1150,Vihaan Kapoor,Male,11,Science,76.6,75.2,3.8,Occasional,Bachelor's
STU1101,Zara Kumar,Female,12,Computer Science,60.0,67.8,0.5,Occasional,High School
STU1026,Aadhya Chopra,Female,10,Science,81.8,85.9,0.7,Occasional,Bachelor's
STU1088,Neha Iyer,Female,11,Computer Science,79.0,84.0,4.2,None,High School
STU1130,Aadhya Kumar,Male,10,Mathematics,59.3,76.6,4.3,None,PhD
STU1101,Zara Kumar,Female,12,Social Studies,49.0,67.8,0.5,Occasional,High School
STU1015,Arjun Singh,Male,9,Mathematics,63.6,73.6,4.4,Occasional,Bachelor's
STU1015,Arjun Singh,Male,9,Mathematics,63.6,73.6,4.4,Occasional,Bachelor's
STU1007,Tanvi Mehta,Female,12,Science,75.0,76.6,4.1,Occasional,Master's
STU1264,Yash Reddy,Female,9,Computer Science,100.0,87.9,6.9,Regular,High School
STU1011,Anika Singh,Male,11,English,83.9,94.8,6.3,None,High School
STU1039,Ananya Desai,Female,9,Science,77.5,74.5,4.3,None,Master's
STU1288,Dev Nair,Male,9,English,100.0,100.0,5.0,Occasional,High School
STU1143,Krishna Sharma,Female,9,Mathematics,67.9,94.6,6.8,Occasional,High School
STU1169,Sai Singh,Female,11,Mathematics,82.5,55.7,4.7,Occasional,High School
STU1133,Kiara Singh,Female,9,Computer Science,97.4,100.0,5.0,None,Bachelor's
STU1095,Krishna Kapoor,Female,10,English,76.3,92.5,3.1,Occasional,Master's
STU1017,Aarav Singh,Female,10,Science,63.5,71.2,3.5,Regular,Master's
STU1112,Tanvi Joshi,Male,9,Science,77.9,73.8,3.5,None,Master's
STU1066,Vivaan Gupta,Male,11,Computer Science,93.7,86.6,3.0,None,High School
STU1277,Riya Patel,Male,12,Science,81.8,82.2,1.6,Occasional,High School
STU1296,Aditya Joshi,Female,9,Computer Science,86.0,89.1,3.3,Occasional,High School
STU1265,Aadhya Patel,Male,10,Mathematics,98.6,93.0,6.1,None,Master's
STU1233,Simran Mehta,Male,11,Mathematics,73.3,91.2,5.7,Regular,Master's
STU1234,Riya Iyer,Male,9,Mathematics,73.3,78.0,0.0,None,High School
STU1107,Aditya Patel,Female,10,Social Studies,77.8,91.4,4.0,Occasional,High School
STU1153,Diya Verma,Female,11,Social Studies,77.1,80.7,5.4,Occasional,Bachelor's
STU1083,Sai Kumar,Female,9,Social Studies,100.0,93.4,5.2,Occasional,High School
STU1191,Riya Nair,Male,9,Science,68.2,92.6,1.3,Occasional,Master's
STU1281,Anika Mehta,Male,9,Mathematics,71.4,73.9,0.0,Regular,Master's
STU1199,Vivaan Kapoor,Male,9,English,73.3,66.6,1.1,None,Bachelor's
STU1114,Aryan Singh,Male,11,Social Studies,86.0,83.4,5.3,None,Master's
STU1128,Neha Iyer,Male,10,English,69.4,73.6,1.8,Regular,High School
STU1254,Diya Kumar,Female,10,Social Studies,84.2,78.8,3.7,None,High School
STU1066,Vivaan Gupta,Male,11,English,94.7,86.6,3.0,None,High School
STU1215,Priya Iyer,Male,11,Social Studies,87.3,76.4,4.6,Occasional,Bachelor's
STU1114,Aryan Singh,Male,11,Computer Science,85.6,83.4,5.3,None,Master's
STU1257,Simran Patel,Female,9,Social Studies,55.0,71.1,4.1,None,High School
STU1274,Vihaan Sharma,Female,11,Computer Science,68.8,81.9,2.1,None,Bachelor's
STU1219,Krishna Sharma,Male,11,Mathematics,95.8,96.8,4.3,Occasional,High School
STU1273,Neha Rao,Male,10,Computer Science,53.4,78.2,0.0,None,High School
STU1245,Aarohi Reddy,Female,11,English,78.0,78.0,2.7,None,Bachelor's
STU1220,Saanvi Reddy,Female,10,English,99.3,95.7,4.6,Regular,Master's
STU1235,Myra Patel,Female,10,Social Studies,80.0,99.1,3.1,Occasional,Bachelor's
STU1001,Diya Kumar,Male,11,Social Studies,63.3,74.1,0.1,None,Bachelor's
STU1271,Saanvi Kumar,Male,10,Mathematics,84.8,92.5,3.8,Regular,High School
